Nr,tip_type,GO_type,RE_key,RE_true,RE_time,ST_name,ST_wait_time
1,image,x,,a,,,
2,image,x,a,a,0.5574889183044434,,
3,image,x,l,a,0.31351780891418457,,
4,temporal_long,x,,a,,tone,0.1
5,image,x,,a,,,
6,temporal_long,+,,l,,tone,0.15
7,image,+,,l,,,
8,temporal_long,+,,l,,tone,0.2
9,image,x,,a,,,
10,image,x,,a,,,
11,image,x,,a,,,
12,temporal_long,+,,l,,tone,0.25
13,image,+,,l,,,
14,image,x,,a,,,
15,image,x,,a,,,
16,image,+,,l,,,
17,temporal_long,+,,l,,tone,0.3
18,image,+,,l,,,
19,image,+,,l,,,
20,image,+,,l,,,
21,image,+,,l,,,
22,neutral_short,+,,l,,tone,0.1
23,image,x,,a,,,
24,image,+,,l,,,
25,image,+,,l,,,
26,image,x,,a,,,
27,neutral_short,x,,a,,tone,0.15
28,image,+,,l,,,
29,image,+,,l,,,
30,image,x,,a,,,
31,image,x,,a,,,
32,neutral_short,+,,l,,tone,0.2
33,image,x,,a,,,
34,image,+,,l,,,
35,image,x,,a,,,
36,neutral_short,+,,l,,tone,0.25
37,image,x,,a,,,
38,image,x,,a,,,
39,neutral_short,+,,l,,tone,0.3
40,image,x,,a,,,
41,image,x,,a,,,
42,neutral_long,+,,l,,tone,0.1
43,image,x,,a,,,
44,neutral_long,+,,l,,tone,0.15
45,image,+,,l,,,
46,image,+,,l,,,
47,image,+,,l,,,
48,neutral_long,x,,a,,tone,0.2
49,image,x,,a,,,
50,image,x,,a,,,
51,image,+,,l,,,
52,image,x,,a,,,
53,image,+,,l,,,
54,image,+,,l,,,
55,image,x,,a,,,
56,neutral_long,+,,l,,tone,0.25
57,image,x,,a,,,
58,neutral_long,x,,a,,tone,0.3
59,image,x,,a,,,
60,image,+,,l,,,
61,image,+,,l,,,
62,image,x,,a,,,
63,image,x,,a,,,
64,image,+,,l,,,
65,image,+,,l,,,
66,image,+,,l,,,
67,image,+,,l,,,
68,temporal_short,x,,a,,tone,0.1
69,image,+,,l,,,
70,temporal_short,x,,a,,tone,0.15
71,image,x,,a,,,
72,image,x,,a,,,
73,temporal_short,+,,l,,tone,0.2
74,image,x,,a,,,
75,temporal_short,+,a,l,0.615941047668457,tone,0.25
76,image,x,a,a,0.3373680114746094,,
77,temporal_short,+,a,l,0.561985969543457,tone,0.2
78,image,+,a,l,0.28415679931640625,,
79,image,x,,a,,,
80,image,x,,a,,,
